OBJECTID,pointid,Elevation,FlowDirect,POINT_X,POINT_Y
298,298,150.1586304,1,287642.44,4783271.029
299,299,150.1440887,1,287643.44,4783271.029
300,300,150.0008087,64,287644.44,4783271.029
301,301,149.962204,32,287645.44,4783271.029
302,302,149.9828491,16,287646.44,4783271.029
303,303,150.0013428,16,287647.44,4783271.029
304,304,150.0250702,16,287648.44,4783271.029
305,305,150.0498352,8,287649.44,4783271.029
306,306,150.0657196,16,287650.44,4783271.029
307,307,150.0794067,1,287651.44,4783271.029
308,308,150.0608063,1,287652.44,4783271.029
309,309,150.039444,128,287653.44,4783271.029
310,310,150.0274353,1,287654.44,4783271.029
311,311,150.0046997,1,287655.44,4783271.029
312,312,149.9840851,2,287656.44,4783271.029
313,313,150.0630341,4,287657.44,4783271.029
314,314,150.1655884,8,287658.44,4783271.029
315,315,150.1898956,32,287659.44,4783271.029
316,316,152.0950623,16,287660.44,4783271.029
317,317,159.5647125,16,287661.44,4783271.029
318,318,159.4227905,8,287662.44,4783271.029
319,319,159.3622589,1,287663.44,4783271.029
320,320,159.2664185,128,287664.44,4783271.029
321,321,159.1685181,64,287665.44,4783271.029
322,322,159.0812225,32,287666.44,4783271.029
323,323,159.0084991,1,287667.44,4783271.029
324,324,158.9346619,1,287668.44,4783271.029
325,325,158.828125,1,287669.44,4783271.029
326,326,158.7461853,1,287670.44,4783271.029
327,327,158.671875,1,287671.44,4783271.029
328,328,158.5704956,4,287672.44,4783271.029
329,329,150.0540771,2,287614.44,4783270.029
330,330,150.0444946,2,287615.44,4783270.029
331,331,150.0513153,1,287616.44,4783270.029
332,332,150.0000458,1,287617.44,4783270.029
333,333,149.9875031,16,287618.44,4783270.029
334,334,150.0251465,16,287619.44,4783270.029
335,335,150.0304871,8,287620.44,4783270.029
336,336,150.0738831,16,287621.44,4783270.029
337,337,150.0902252,2,287622.44,4783270.029
338,338,150.0758972,2,287623.44,4783270.029
339,339,150.0606232,2,287624.44,4783270.029
340,340,150.0543823,4,287625.44,4783270.029
341,341,150.0342407,128,287626.44,4783270.029
342,342,150.0111542,64,287627.44,4783270.029
343,343,150.0404968,32,287628.44,4783270.029
344,344,150.0582123,32,287629.44,4783270.029
345,345,150.0835571,32,287630.44,4783270.029
346,346,150.1117096,4,287631.44,4783270.029
347,347,150.1302948,8,287632.44,4783270.029
348,348,150.11586,2,287633.44,4783270.029
349,349,150.1177673,2,287634.44,4783270.029
350,350,150.0990601,4,287635.44,4783270.029
351,351,150.1072845,4,287636.44,4783270.029
352,352,150.0659637,8,287637.44,4783270.029
353,353,150.0542603,1,287638.44,4783270.029
354,354,150.0169525,64,287639.44,4783270.029
355,355,150.0536957,16,287640.44,4783270.029
356,356,150.19104,16,287641.44,4783270.029
357,357,150.1653137,128,287642.44,4783270.029
358,358,150.1522064,128,287643.44,4783270.029
359,359,150.0607147,1,287644.44,4783270.029
360,360,149.9575806,4,287645.44,4783270.029
361,361,149.9780121,16,287646.44,4783270.029
362,362,150.4764099,16,287647.44,4783270.029
363,363,150.0075073,4,287648.44,4783270.029
364,364,150.0434265,16,287649.44,4783270.029
365,365,150.0618134,8,287650.44,4783270.029
366,366,150.0738983,8,287651.44,4783270.029
367,367,150.0627899,1,287652.44,4783270.029
368,368,150.0432892,1,287653.44,4783270.029
369,369,150.0251923,1,287654.44,4783270.029
370,370,150.0076752,1,287655.44,4783270.029
371,371,149.9893341,2,287656.44,4783270.029
372,372,149.9813995,4,287657.44,4783270.029
373,373,150.4868317,16,287658.44,4783270.029
374,374,150.1902924,32,287659.44,4783270.029
375,375,151.3375244,16,287660.44,4783270.029
376,376,158.9074554,16,287661.44,4783270.029
377,377,159.4437408,8,287662.44,4783270.029
378,378,159.3643951,1,287663.44,4783270.029
379,379,159.2798004,1,287664.44,4783270.029
380,380,159.1818695,1,287665.44,4783270.029
381,381,159.072998,1,287666.44,4783270.029
382,382,158.9942322,1,287667.44,4783270.029
383,383,158.9154205,1,287668.44,4783270.029
384,384,158.81427,1,287669.44,4783270.029
385,385,158.7374115,1,287670.44,4783270.029
386,386,158.6547699,1,287671.44,4783270.029
387,387,158.5641632,2,287672.44,4783270.029
388,388,150.0363312,4,287615.44,4783269.029
389,389,150.0259094,128,287616.44,4783269.029
390,390,150.0131378,64,287617.44,4783269.029
391,391,150.0127563,2,287618.44,4783269.029
392,392,150.0200806,4,287619.44,4783269.029
393,393,150.0317535,8,287620.44,4783269.029
394,394,150.077301,8,287621.44,4783269.029
395,395,150.0797119,8,287622.44,4783269.029
396,396,150.0649261,1,287623.44,4783269.029
397,397,150.0455475,2,287624.44,4783269.029
398,398,150.0299377,4,287625.44,4783269.029
399,399,150.042099,128,287626.44,4783269.029
400,400,150.0469971,64,287627.44,4783269.029
401,401,150.058136,32,287628.44,4783269.029
402,402,150.0661469,32,287629.44,4783269.029
403,403,150.0777283,32,287630.44,4783269.029
404,404,150.0771942,16,287631.44,4783269.029
405,405,150.0993195,16,287632.44,4783269.029
406,406,150.0931702,2,287633.44,4783269.029
407,407,150.0796814,1,287634.44,4783269.029
408,408,150.0173798,4,287635.44,4783269.029
409,409,150.0259094,16,287636.44,4783269.029
410,410,150.0393829,2,287637.44,4783269.029
411,411,150.0458069,4,287638.44,4783269.029
412,412,150.0426788,4,287639.44,4783269.029
413,413,150.0181427,4,287640.44,4783269.029
414,414,150.1925812,16,287641.44,4783269.029
415,415,150.1713867,128,287642.44,4783269.029
416,416,150.1594696,128,287643.44,4783269.029
417,417,150.0906067,1,287644.44,4783269.029
418,418,149.9537964,4,287645.44,4783269.029
419,419,149.9820099,16,287646.44,4783269.029
420,420,150.0015869,8,287647.44,4783269.029
421,421,150.0013123,8,287648.44,4783269.029
422,422,150.0330658,16,287649.44,4783269.029
423,423,150.0515137,16,287650.44,4783269.029
424,424,150.0807648,16,287651.44,4783269.029
425,425,150.0607147,1,287652.44,4783269.029
426,426,150.0384064,1,287653.44,4783269.029
427,427,150.0230865,128,287654.44,4783269.029
428,428,150.0128632,1,287655.44,4783269.029
429,429,149.9877625,1,287656.44,4783269.029
430,430,149.9668427,4,287657.44,4783269.029
431,431,150.167038,16,287658.44,4783269.029
432,432,150.189209,8,287659.44,4783269.029
433,433,150.208786,16,287660.44,4783269.029
434,434,158.4913788,16,287661.44,4783269.029
435,435,159.459259,8,287662.44,4783269.029
436,436,159.3828583,1,287663.44,4783269.029
437,437,159.2722626,1,287664.44,4783269.029
438,438,159.1675415,1,287665.44,4783269.029
439,439,159.0745544,1,287666.44,4783269.029
440,440,158.9744873,1,287667.44,4783269.029
441,441,158.8999939,1,287668.44,4783269.029
442,442,158.7944489,1,287669.44,4783269.029
443,443,158.7162628,1,287670.44,4783269.029
444,444,158.6467133,1,287671.44,4783269.029
445,445,158.5481262,1,287672.44,4783269.029
446,446,158.447937,1,287673.44,4783269.029
447,447,150.0120087,16,287615.44,4783268.029
448,448,150.0100555,16,287616.44,4783268.029
449,449,150.0256042,16,287617.44,4783268.029
450,450,150.0291901,1,287618.44,4783268.029
451,451,149.9687042,2,287619.44,4783268.029
452,452,149.9923248,16,287620.44,4783268.029
453,453,150.0351868,8,287621.44,4783268.029
454,454,150.0612183,8,287622.44,4783268.029
455,455,150.0581512,2,287623.44,4783268.029
456,456,150.0449982,1,287624.44,4783268.029
457,457,150.0159149,4,287625.44,4783268.029
458,458,150.0289612,16,287626.44,4783268.029
459,459,150.0523682,16,287627.44,4783268.029
460,460,150.0684204,16,287628.44,4783268.029
461,461,150.0925446,64,287629.44,4783268.029
462,462,150.109375,64,287630.44,4783268.029
463,463,150.0811768,64,287631.44,4783268.029
464,464,150.0946655,16,287632.44,4783268.029
465,465,150.0916748,1,287633.44,4783268.029
466,466,150.0656586,1,287634.44,4783268.029
467,467,150.0175476,4,287635.44,4783268.029
468,468,150.0317535,2,287636.44,4783268.029
469,469,150.0295105,4,287637.44,4783268.029
470,470,150.0033569,2,287638.44,4783268.029
471,471,150.012619,4,287639.44,4783268.029
472,472,150.0029602,4,287640.44,4783268.029
473,473,150.17099,16,287641.44,4783268.029
474,474,150.1756744,8,287642.44,4783268.029
475,475,150.1591034,128,287643.44,4783268.029
476,476,150.1517181,1,287644.44,4783268.029
477,477,149.9512939,64,287645.44,4783268.029
478,478,149.9729919,16,287646.44,4783268.029
479,479,149.9935455,16,287647.44,4783268.029
480,480,150.0131073,16,287648.44,4783268.029
481,481,150.0313263,32,287649.44,4783268.029
482,482,150.0467529,16,287650.44,4783268.029
483,483,150.0758514,16,287651.44,4783268.029
484,484,150.0633392,1,287652.44,4783268.029
485,485,150.0401917,1,287653.44,4783268.029
486,486,150.0210876,1,287654.44,4783268.029
487,487,150.0092621,128,287655.44,4783268.029
488,488,149.9952087,1,287656.44,4783268.029
489,489,149.9667206,4,287657.44,4783268.029
490,490,150.1415405,16,287658.44,4783268.029
491,491,150.1901398,8,287659.44,4783268.029
492,492,150.2032471,16,287660.44,4783268.029
493,493,157.0567017,16,287661.44,4783268.029
494,494,159.5129852,8,287662.44,4783268.029
495,495,159.435318,1,287663.44,4783268.029
496,496,159.2984161,1,287664.44,4783268.029
497,497,159.1899261,1,287665.44,4783268.029
498,498,159.0852356,1,287666.44,4783268.029
499,499,158.9980164,1,287667.44,4783268.029
500,500,158.8976135,1,287668.44,4783268.029
501,501,158.7965088,1,287669.44,4783268.029
502,502,158.7243042,1,287670.44,4783268.029
503,503,158.6481781,1,287671.44,4783268.029
504,504,158.5520935,1,287672.44,4783268.029
505,505,158.4631348,2,287673.44,4783268.029
506,506,150.0261536,64,287615.44,4783267.029
507,507,150.0299072,64,287616.44,4783267.029
508,508,150.0383301,32,287617.44,4783267.029
509,509,150.035141,1,287618.44,4783267.029
